,"Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes"
"Countries, territories and areas","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","780 [<500–3200]","750 [<500–2900]","720 [<500–2800]","690 [<500–2700]","670 [<500–2600]","660 [<500–2500]","660 [<500–2600]","650 [<500–2500]","630 [<500–2400]","600 [<500–2200]","580 [<500–2000]","550 [<500–1900]","540 [<500–1700]","520 [<500–1600]","<500 [<500–1400]","<500 [<200–1300]","<500 [<200–1100]","<500 [<200–950]","<500 [<200–830]","<500 [<200–710]","<500 [<200–580]","<500 [<200–<500]","<500 [<100–<500]"
"Albania","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Algeria","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]"
"Andorra","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Angola","13 000 [10 000–17 000]","14 000 [11 000–19 000]","16 000 [13 000–21 000]","17 000 [13 000–22 000]","17 000 [14 000–22 000]","17 000 [14 000–22 000]","16 000 [13 000–20 000]","15 000 [12 000–19 000]","15 000 [12 000–19 000]","17 000 [13 000–20 000]","17 000 [14 000–21 000]","16 000 [13 000–20 000]","16 000 [12 000–20 000]","15 000 [12 000–19 000]","15 000 [11 000–19 000]","14 000 [11 000–18 000]","14 000 [11 000–18 000]","13 000 [10 000–18 000]","12 000 [9100–16 000]","11 000 [8300–15 000]","10 000 [7200–14 000]","9100 [6300–13 000]","8000 [5400–12 000]"
"Antigua and Barbuda","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Argentina","1300 [950–1600]","1400 [1000–1700]","1400 [1000–1800]","1500 [1100–1800]","1500 [1100–1800]","1400 [1100–1800]","1400 [1000–1800]","1400 [1000–1700]","1300 [990–1700]","1300 [980–1700]","1400 [1000–1700]","1400 [1000–1700]","1400 [1000–1700]","1400 [1000–1700]","1400 [1100–1700]","1500 [1100–1800]","1500 [1100–1800]","1500 [1100–1800]","1500 [1100–1800]","1400 [1100–1700]","1400 [1100–1700]","1400 [1100–1700]","1500 [1200–1800]"
"Armenia","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Australia","No data","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<200–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]"
"Austria","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Azerbaijan","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<200–<500]","<200 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–500]","<500 [<500–500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<100–<500]","<200 [<100–<200]","<100 [<100–<200]"
"Bahamas","No data","No data","No data","<100 [<100–<100]","<100 [<100–<100]","<200 [<100–<200]","<200 [<200–<200]","<200 [<100–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<200]","<200 [<200–<500]","<200 [<200–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]"
"Bahrain","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Bangladesh","600 [520–700]","620 [540–730]","610 [530–710]","600 [520–700]","560 [<500–660]","550 [<500–640]","550 [<500–630]","520 [<500–590]","<500 [<500–550]","<500 [<500–510]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
