Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CH4 (t),Andaman & Nicobar Islands,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CH4 (t),Andhra Pradesh,Agriculture,Rice,117178.95,124069.98,124181.44,133659.87,114668.53,137940.2,132827.78,116770.58,129720.13,127830.62,116198.03
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CH4 (t),Arunachal Pradesh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CH4 (t),Assam,Agriculture,Rice,10591.94,8258.34,7134.93,9565.28,13477.28,11246.78,9987.06,9794.24,9781.95,9773.38,9685.54
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CH4 (t),Bihar,Agriculture,Rice,124360.19,131073.66,133393.57,134123.21,123634.23,112034.78,123930.33,127287.69,122519.37,124341.36,124016.33
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CH4 (t),Chandigarh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CH4 (t),Chhattisgarh,Agriculture,Rice,64789.07,65475.57,65657.69,65975.57,64934.52,65814.88,66262.25,66804.69,67041.42,67677.5,65111.37
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CH4 (t),Dadra & Nagar Haveli,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CH4 (t),Daman & Diu,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CH4 (t),Delhi,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
