Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Industrial Product and Process Use,Chemical Industry,Acrylonitrile,-,-,-,,Emissions,CH4 (t),Gujarat,Industry,-,6210.0,6480.0,6930.0,5805.0,6615.0,6885.0,6840.0,6165.0,6480.0,6255.0,1800.0
Industrial Product and Process Use,Chemical Industry,Acrylonitrile,-,-,-,,Emissions,CO2 (t),Gujarat,Industry,-,34500.0,36000.0,38500.0,32250.0,36750.0,38250.0,38000.0,34250.0,36000.0,34750.0,10000.0
Industrial Product and Process Use,Chemical Industry,Acrylonitrile,-,-,-,,Emissions,CO2e (t) GTP-AR2,Gujarat,Industry,-,65550.0,68400.0,73150.0,61275.0,69825.0,72675.0,72200.0,65075.0,68400.0,66025.0,19000.0
Industrial Product and Process Use,Chemical Industry,Acrylonitrile,-,-,-,,Emissions,CO2e (t) GTP-AR5,Gujarat,Industry,-,59340.0,61920.0,66220.0,55470.0,63210.0,65790.0,65360.0,58910.0,61920.0,59770.0,17200.0
Industrial Product and Process Use,Chemical Industry,Acrylonitrile,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,164910.0,172080.0,184030.0,154155.0,175665.0,182835.0,181640.0,163715.0,172080.0,166105.0,47800.0
Industrial Product and Process Use,Chemical Industry,Acrylonitrile,-,-,-,,Emissions,CO2e (t) GWP-AR5,Gujarat,Industry,-,208380.0,217440.0,232540.0,194790.0,221970.0,231030.0,229520.0,206870.0,217440.0,209890.0,60400.0
Industrial Product and Process Use,Chemical Industry,Acrylonitrile,-,-,-,,Emissions,N2O (t),Gujarat,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CH4 (t),Andhra Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2 (t),Andhra Pradesh,Industry,-,673492.86,677415.66,667904.33,665659.55,696041.98,725308.54,734289.11,749995.62,758449.29,756350.25,802666.34
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GTP-AR2,Andhra Pradesh,Industry,-,673492.84,677415.64,667904.34,665659.56,696041.97,725308.52,734289.11,749995.63,758449.28,756350.23,802666.34
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GTP-AR5,Andhra Pradesh,Industry,-,673492.84,677415.64,667904.34,665659.56,696041.97,725308.52,734289.11,749995.63,758449.28,756350.23,802666.34
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Industry,-,673492.86,677415.66,667904.33,665659.55,696041.98,725308.54,734289.11,749995.62,758449.29,756350.25,802666.34
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR5,Andhra Pradesh,Industry,-,673492.84,677415.64,667904.34,665659.56,696041.97,725308.52,734289.11,749995.63,758449.28,756350.23,802666.34
