Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Andaman & Nicobar Islands,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Agriculture,Rice,2460757.88,2605469.5,2607810.19,2806857.23,2408039.07,2896744.28,2789383.45,2452182.24,2724122.82,2684442.96,2440158.65
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Arunachal Pradesh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Assam,Agriculture,Rice,222430.81,173425.16,149833.53,200870.83,283022.88,236182.42,209728.16,205679.07,205421.01,205241.02,203396.33
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Bihar,Agriculture,Rice,2611563.99,2752546.81,2801264.92,2816587.35,2596318.84,2352730.31,2602536.96,2673041.58,2572906.82,2611168.51,2604342.85
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Chandigarh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,Agriculture,Rice,1360570.39,1374986.98,1378811.44,1385487.01,1363624.89,1382112.49,1391507.34,1402898.57,1407869.89,1421227.4,1367338.69
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Delhi,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Goa,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Gujarat,Agriculture,Rice,621637.22,643915.48,671937.51,642944.1,587892.53,655255.21,700234.06,685684.56,678863.83,678863.83,653080.18
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Haryana,Agriculture,Rice,347581.94,346906.01,356118.67,391539.94,403785.01,412317.66,413922.72,402500.99,410968.49,420779.37,442451.65
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Himachal Pradesh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Jammu & Kashmir,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Jharkhand,Agriculture,Rice,95083.25,100778.48,102171.22,62524.67,53269.24,44862.24,48740.21,54751.14,55940.61,52193.23,73902.57
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Karnataka,Agriculture,Rice,408631.61,386713.73,357170.44,413277.13,446632.1,532370.22,463893.35,300361.02,373385.67,433742.11,374442.14
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Kerala,Agriculture,Rice,196753.83,187794.77,167368.09,164090.62,164895.63,153848.04,147524.34,140889.09,140205.6,139855.31,138914.69
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Lakshadweep,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,Agriculture,Rice,266546.98,264408.66,258755.23,265671.13,255098.19,248329.39,261684.64,277947.39,292464.55,316840.59,319769.01
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Agriculture,Rice,268992.94,232519.2,178467.62,158626.94,142061.18,140296.98,143257.86,144873.53,149116.68,146085.86,143381.43
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Manipur,Agriculture,Rice,58889.62,58017.44,57965.11,58549.47,59011.73,70428.57,77083.3,60807.55,72062.16,78173.53,69651.07
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Meghalaya,Agriculture,Rice,44414.32,43715.84,44372.7,45124.33,45341.95,45392.9,45591.34,45928.68,46090.02,46222.63,46578.06
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Mizoram,Agriculture,Rice,18612.3,17671.11,17791.18,14540.14,12436.01,10070.03,8715.03,8214.02,7610.86,7530.97,11722.33
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Nagaland,Agriculture,Rice,51009.4,53239.02,54609.2,56215.11,55561.13,58338.32,59434.3,59879.57,61532.96,63450.72,59927.54
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Odisha,Agriculture,Rice,2932112.59,2915844.08,2911817.87,2913451.58,2869991.16,2786966.01,2655675.66,2628481.46,2708685.64,2727579.2,2615815.11
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Puducherry,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Punjab,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Sikkim,Agriculture,Rice,35985.3,29410.93,27295.05,27821.8,34969.44,34936.28,34176.72,33915.83,36255.99,36689.14,42911.05
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Tamil Nadu,Agriculture,Rice,1998621.13,1953902.03,1817972.3,1888976.5,1860154.33,1883684.16,1897211.65,1589992.58,1661443.62,1771117.14,1969382.33
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Telangana,Agriculture,Rice,1671457.54,1769752.19,1771342.09,1906543.8,1635648.56,1967599.14,1894674.82,1665632.58,2060244.82,1719253.07,1251640.43
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Tripura,Agriculture,Rice,98512.4,97600.99,97964.47,95263.64,90812.77,94537.76,96450.7,92773.07,90192.94,91406.01,96227.24
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,Agriculture,Rice,3621941.04,3589995.29,3556027.12,3645494.72,3509792.22,3539847.98,3609767.78,3632855.38,3677477.91,3747907.54,3642922.26
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,Uttarakhand,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Continous Flooding,,Emissions,CO2e (t) GWP-AR2,West Bengal,Agriculture,Rice,3177669.32,2879418.18,2812644.1,2896427.71,2781429.45,2484854.35,2579902.6,2643219.44,2490012.51,2442172.0,2422544.04
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Andaman & Nicobar Islands,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Agriculture,Rice,102682.8,94540.3,94625.23,101847.72,61163.53,73576.51,70849.57,71182.58,79076.54,77924.7,70833.55
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Arunachal Pradesh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Assam,Agriculture,Rice,288618.01,269057.71,274179.88,292557.99,301465.71,306461.6,305458.24,299560.95,299185.09,298922.95,296236.25
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Bihar,Agriculture,Rice,1794567.38,1891445.41,1924922.64,1935451.63,1784091.49,1616706.73,1788364.35,1836812.44,1768003.64,1794295.62,1789605.29
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Chandigarh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agriculture, Forestry and Other Land Use",Aggregate Sources and non-CO2 emissions sources on land ,Rice Cultivation,Direct,Vegetal,Deep Water ,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,Agriculture,Rice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
