,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Rice Cultivation,70523715.75999999,71467840.28,71100104.23,72463149.45,69378947.4,69399778.44999999,70227248.33000001,68449700.77,69888615.39,69457989.32000002,68143892.32
Biomass Burning in Cropland,5055017.1,5490903.21,5749656.42,5660718.45,5461727.16,5835874.99,6218162.38,6247739.86,6350800.62,6165941.699999999,6159393.759999999
Agriculture Soils,44659457.99,45026704.639999986,45433045.39,47217072.13,48868269.27,51705923.28,54224864.99,53337922.129999995,51073244.739999995,50868098.66000001,51979647.300000004
Enteric Fermentation,198842508.78000003,203632596.91,208422685.26999998,207212143.61,206001602.14,204791060.65000004,203580519.17,202369977.81,203237346.57,204764513.92000002,206970024.20999998
Manure Management,20942701.880000003,21402042.35,21857443.85,21738235.15,21619026.56,21499818.03,21380609.37,21261400.82,21363171.04,21534670.22,21777229.110000003
Forest Land,-97973911.3,-97973911.3,-97973911.3,-97973911.3,-97973911.3,-97973911.3,-97973911.3,-72351480.67,-72351480.67,-124441044.49,-124441044.49
Biomass Burning in Forest Land,5023503.98,5037074.78,5058675.45,5080276.14,5099856.4,5119436.72,5140344.5200000005,5161252.29,5182160.08,5227782.580000001,5273405.070000001
Cropland,-1462569.5799999996,-1462569.5799999996,-1462569.5799999996,-621445.8099999996,-621445.8099999996,-621445.8099999996,-1324154.1700000004,-1324154.1700000004,-1324154.1700000004,-1324154.1700000004,-1324154.1700000004
Grassland,583657.5399999999,583657.5399999999,583657.5399999999,422918.85,422918.85,422918.85,656985.9500000001,656985.9500000001,656985.9500000001,656985.9500000001,656985.9500000001
Settlements,445456.8900000001,445456.8900000001,445456.8900000001,467622.57,467622.57,467622.57,492097.88,492097.88,492097.88,492097.88,492097.88
Other Land,8210451.39,8210451.39,8210451.39,5630522.449999999,5630522.449999999,5630522.449999999,7434198.85,7434198.85,7434198.85,7434198.85,7434198.85
Total,254849990.42999992,261860247.10999992,267424695.54999995,267297301.6899999,264355135.69,266277598.87999994,270056965.97,291735641.52,292002986.28,240837080.42000005,243121675.78999996
