,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Acrylonitrile,164910.0,172080.0,184030.0,154155.0,175665.0,182835.0,181640.0,163715.0,172080.0,166105.0,47800.0
Ammonia Production,20164456.81,20281906.0,19997135.66,19929926.540000003,20839580.25,21715824.53,21984703.78,22454958.57,22708062.680000003,22645217.18,24031926.419999998
"Caprolactam, Glyoxal and Glyoxylic Acid Production",329917.5,334800.0,264352.5,235755.01,315967.5,343170.0,332707.5,289462.5,246915.01,241335.01,240637.5
Carbide Production,67828.75,93634.75,105649.5,81691.5,36467.75,42933.0,67064.25,76815.75,84513.0,93588.0,92837.25
Carbon Black,1519259.28,1612312.1800000002,1651919.05,1494626.2200000002,1580483.1500000001,1723366.13,1741586.51,1609938.0999999999,1574552.51,1687276.2000000002,1797439.1
Ethylene,4841996.5,4826756.0,4981402.25,4808377.75,4564978.0,4711107.51,5659156.25,5946036.25,5985482.25,5792286.5,6442697.24
Ethylene Dichloride and Vinyl Chloride Monomer,102268.0,68302.0,75554.0,81252.0,119288.0,133718.0,130166.0,102342.0,85100.0,362494.20999999996,482451.22000000003
Ethylene Oxide,3297344.75,3614581.99,4210603.5,4470161.25,5566071.75,6210159.499999999,6450490.760000001,6585076.239999999,7161871.25,7171484.51,7200324.26
Methanol,447502.35,454123.45999999996,418371.81,306435.69,354435.08999999997,419236.56,419207.75,324183.25,339180.89,270018.19,201109.13999999998
Nitric Acid Production,414654.84,288110.01999999996,433847.57999999996,602849.6699999999,601929.89,1149353.34,1997425.13,1124203.5699999998,190400.6,13945.36,7403.5599999999995
Soda Ash Production,316777.62,294368.49,279263.35000000003,275056.77,281660.42,308934.39,328827.09,335484.55,331693.35,337346.86,352280.52999999997
Titanium Dioxide Production,82556.39,86233.56,83228.12,75825.29000000001,82144.35,87732.83,76327.35,70136.4,72186.20000000001,68010.42,77688.11
Total,31749472.790000003,32127208.45,32685357.32,32516112.69,34518671.15,37028370.79000001,39369302.37000001,39082352.18,38952037.74000001,38849107.44,40974594.33
