Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Industrial Product and Process Use,Chemical Industry,Acrylonitrile,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,164910.0,172080.0,184030.0,154155.0,175665.0,182835.0,181640.0,163715.0,172080.0,166105.0,47800.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Industry,-,673492.86,677415.66,667904.33,665659.55,696041.98,725308.54,734289.11,749995.62,758449.29,756350.25,802666.34
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,6581678.7,6620014.12,6527065.08,6505128.02,6802038.99,7088045.12,7175807.31,7329298.48,7411911.66,7391398.89,7844020.78
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Kerala,Industry,-,844890.74,849811.86,837879.98,835063.92,873178.41,909893.05,921159.09,940862.76,951467.83,948834.6,1006937.72
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,1502252.03,1511002.0,1489786.61,1484779.53,1552548.73,1617828.93,1637860.43,1672894.41,1691750.67,1687068.68,1790378.52
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Industry,-,3417875.43,3437783.07,3389514.5,3378122.55,3532308.85,3680832.26,3726407.29,3806115.48,3849016.62,3838364.31,4073411.53
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,Industry,-,5079426.67,5109012.12,5037278.47,5020348.49,5249490.27,5470216.2,5537946.88,5656404.06,5720160.99,5704330.21,6053642.26
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,West Bengal,Industry,-,2064840.38,2076867.17,2047706.69,2040824.48,2133973.02,2223700.43,2251233.67,2299387.76,2325305.62,2318870.24,2460869.27
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,192341.9,195188.4,154117.51,137445.17,184209.05,200068.11,193968.47,168756.64,143951.45,140698.31,140291.66
Industrial Product and Process Use,Chemical Industry,"Caprolactam, Glyoxal and Glyoxylic Acid Production",-,-,-,,Emissions,CO2e (t) GWP-AR2,Kerala,Industry,-,137575.6,139611.6,110234.99,98309.84,131758.45,143101.89,138739.03,120705.86,102963.56,100636.7,100345.84
Industrial Product and Process Use,Chemical Industry,Carbide Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Industry,-,0.0,0.0,0.0,54903.75,36467.75,42933.0,67064.25,76815.75,84513.0,93588.0,92837.25
Industrial Product and Process Use,Chemical Industry,Carbide Production,Calcium carbide,-,-,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Industry,-,67828.75,93634.75,105649.5,26787.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,421374.88,447183.6,458168.79,414542.76,438355.65,462902.75,463087.85,428082.54,418673.51,448646.74,477939.06
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR2,Kerala,Industry,-,150436.76,159650.84,163572.7,147997.59,156499.13,165354.9,165450.72,152944.12,149582.49,160291.24,170756.71
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,136608.73,144975.86,148537.23,134393.78,142113.86,150066.51,150124.76,138776.66,135726.43,145443.21,154939.25
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR2,Punjab,Industry,-,65037.3,69020.77,70716.28,63982.8,67658.21,71525.33,71579.21,66168.46,64714.11,69347.05,73874.75
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR2,Tamil Nadu,Industry,-,65037.3,69020.77,70716.28,63982.8,67658.21,125505.95,142984.25,132175.92,129270.76,138525.38,147569.75
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,Industry,-,219576.88,233025.71,238750.05,216016.69,228425.5,241270.22,241383.89,223137.42,218232.98,233856.48,249125.06
Industrial Product and Process Use,Chemical Industry,Carbon Black,-,-,-,,Emissions,CO2e (t) GWP-AR2,West Bengal,Industry,-,461187.43,489434.63,501457.72,453709.8,479772.59,506740.47,506975.83,468652.98,458352.23,491166.1,523234.52
Industrial Product and Process Use,Chemical Industry,Ethylene,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,2475636.32,2467844.09,2546912.27,2458447.58,2334001.13,2408714.84,2893437.19,3040114.4,3060282.52,3080952.04,3333865.14
Industrial Product and Process Use,Chemical Industry,Ethylene,-,-,-,,Emissions,CO2e (t) GWP-AR2,Haryana,Industry,-,828757.94,826149.37,852618.68,823003.74,781343.35,806354.93,968623.31,1017725.8,1024477.39,1053815.31,1123536.27
Industrial Product and Process Use,Chemical Industry,Ethylene,-,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,406159.08,404880.67,417852.8,403339.06,382922.06,395179.78,474704.54,498768.77,502077.6,516455.58,550624.54
Industrial Product and Process Use,Chemical Industry,Ethylene,-,-,-,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,Industry,-,483522.72,482000.8,497443.8,480165.54,455859.6,470452.12,565124.45,593772.34,597711.43,614828.07,655505.41
Industrial Product and Process Use,Chemical Industry,Ethylene,-,-,-,,Emissions,CO2e (t) GWP-AR2,West Bengal,Industry,-,647920.44,645881.07,666574.7,643421.83,610851.86,630405.84,757266.76,795654.94,800933.31,526235.5,779165.88
Industrial Product and Process Use,Chemical Industry,Ethylene Dichloride and Vinyl Chloride Monomer,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,102268.0,68302.0,75554.0,81252.0,119288.0,133718.0,130166.0,102342.0,85100.0,281963.72,366889.59
Industrial Product and Process Use,Chemical Industry,Ethylene Dichloride and Vinyl Chloride Monomer,-,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80530.49,115561.63
Industrial Product and Process Use,Chemical Industry,Ethylene Oxide,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,2706790.31,2967210.36,3456484.41,3669555.37,4569188.3,5097919.93,5295207.86,5405689.09,5879180.11,5887071.63,5910746.18
Industrial Product and Process Use,Chemical Industry,Ethylene Oxide,-,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,589565.24,646287.26,752855.91,799264.83,995213.63,1110376.52,1153347.75,1177411.63,1280542.58,1282261.43,1287417.98
Industrial Product and Process Use,Chemical Industry,Ethylene Oxide,-,-,-,,Emissions,CO2e (t) GWP-AR2,Uttarakhand,Industry,-,989.2,1084.37,1263.18,1341.05,1669.82,1863.05,1935.15,1975.52,2148.56,2151.45,2160.1
Industrial Product and Process Use,Chemical Industry,Methanol,-,-,-,,Emissions,CO2e (t) GWP-AR2,Assam,Industry,-,40275.21,40871.11,37653.46,27579.21,31899.16,37731.29,37728.7,29176.49,30526.28,24301.64,18099.82
Industrial Product and Process Use,Chemical Industry,Methanol,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,214801.13,217979.26,200818.47,147089.13,170128.84,201233.55,201219.72,155607.96,162806.83,129608.73,96532.39
Industrial Product and Process Use,Chemical Industry,Methanol,-,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,192426.01,195273.09,179899.88,131767.35,152407.09,180271.72,180259.33,139398.8,145847.78,116107.82,86476.93
Industrial Product and Process Use,Chemical Industry,Nitric Acid Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Industry,-,9448.43,2362.11,0.0,0.0,178.54,59.51,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Nitric Acid Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,109491.61,30983.34,23661.52,56894.3,85521.25,89118.09,22031.72,127974.82,42658.27,2745.28,915.09
Industrial Product and Process Use,Chemical Industry,Nitric Acid Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Karnataka,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.14,219.38,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Nitric Acid Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,229343.42,171797.34,180640.88,366787.6,377205.18,1026050.17,1855030.48,860901.71,115941.3,8963.22,5750.15
Industrial Product and Process Use,Chemical Industry,Nitric Acid Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Punjab,Industry,-,66371.38,82967.23,229545.18,179167.77,139024.92,34125.57,120362.93,134668.9,31581.65,2236.86,738.32
Industrial Product and Process Use,Chemical Industry,Soda Ash Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Gujarat,Industry,-,304106.52,282593.75,268092.82,264054.5,270394.0,296577.01,315674.01,322065.17,318425.62,323852.99,338189.31
Industrial Product and Process Use,Chemical Industry,Soda Ash Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Kerala,Industry,-,12671.1,11774.74,11170.53,11002.27,11266.42,12357.38,13153.08,13419.38,13267.73,13493.87,14091.22
Industrial Product and Process Use,Chemical Industry,Titanium Dioxide Production,-,-,-,,Emissions,CO2e (t) GWP-AR2,Kerala,Industry,-,63568.42,66399.84,64085.65,58385.47,63251.15,67554.28,58772.06,54005.03,55583.37,54854.79,63704.25
