,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Acrylonitrile,164910.0,172080.0,184030.0,154155.0,175665.0,182835.0,181640.0,163715.0,172080.0,166105.0,47800.0
Ammonia Production,20164456.81,20281906.0,19997135.66,19929926.540000003,20839580.25,21715824.53,21984703.78,22454958.57,22708062.680000003,22645217.18,24031926.419999998
"Caprolactam, Glyoxal and Glyoxylic Acid Production",329917.5,334800.0,264352.5,235755.01,315967.5,343170.0,332707.5,289462.5,246915.01,241335.01,240637.5
Carbide Production,67828.75,93634.75,105649.5,81691.5,36467.75,42933.0,67064.25,76815.75,84513.0,93588.0,92837.25
Carbon Black,1519259.28,1612312.1800000002,1651919.05,1494626.2200000002,1580483.1500000001,1723366.13,1741586.51,1609938.0999999999,1574552.51,1687276.2000000002,1797439.1
Ethylene,4841996.5,4826756.0,4981402.25,4808377.75,4564978.0,4711107.51,5659156.25,5946036.25,5985482.25,5792286.5,6442697.24
Ethylene Dichloride and Vinyl Chloride Monomer,102268.0,68302.0,75554.0,81252.0,119288.0,133718.0,130166.0,102342.0,85100.0,362494.20999999996,482451.22000000003
Ethylene Oxide,3297344.75,3614581.99,4210603.5,4470161.25,5566071.75,6210159.499999999,6450490.760000001,6585076.239999999,7161871.25,7171484.51,7200324.26
Methanol,447502.35,454123.45999999996,418371.81,306435.69,354435.08999999997,419236.56,419207.75,324183.25,339180.89,270018.19,201109.13999999998
Nitric Acid Production,414654.84,288110.01999999996,433847.57999999996,602849.6699999999,601929.89,1149353.34,1997425.13,1124203.5699999998,190400.6,13945.36,7403.5599999999995
Soda Ash Production,316777.62,294368.49,279263.35000000003,275056.77,281660.42,308934.39,328827.09,335484.55,331693.35,337346.86,352280.52999999997
Titanium Dioxide Production,82556.39,86233.56,83228.12,75825.29000000001,82144.35,87732.83,76327.35,70136.4,72186.20000000001,68010.42,77688.11
Aluminium Production,1466891.25,1797303.75,2006400.0,2176866.86,2466234.79,2642928.34,2715694.1599999997,2811367.76,2772959.8899999997,3195929.9699999997,3750305.62
Ferroalloys Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iron and Steel Production,5313878.890000001,5678948.030000001,5500328.5,6591780.489999999,6371205.200000001,6638405.100000001,13761840.729999999,13566128.92,8017303.580000001,7336867.76,8354808.23
Lead Production,11324.04,20500.74,28517.45,31097.95,32926.4,30706.13,43367.22,58116.63,63193.26,65522.73,73178.69
Other,2068111.67,2200835.47,2318257.7900000005,2468664.89,2655771.69,2720355.24,2767723.33,2855591.56,2905807.5300000003,3084222.43,3232656.33
Zinc Production,149327.5,190645.63,232620.05000000002,292126.33,321107.92,375633.39,409602.95,383763.86,398005.89,392850.05000000005,398775.18
Cement Production,58362918.7,62227372.05,66591020.629999995,72743711.42999998,80216989.52000001,85443112.44000001,90756153.73,93497370.5,100420166.08999999,108833422.47,112681441.99
Ceramics,57.31,263.6,105822.56,122474.54999999999,74101.4,18455.88,31707.150000000005,14627.119999999999,148491.01,231970.48,105482.73
Glass Production,323666.6,647623.8799999999,417788.05,224288.69000000003,184369.23,2954762.2,1266832.1700000002,417929.77,1075916.21,583608.2,345436.83999999997
Lime Production,733818.6499999999,809655.7,1060857.0,978347.91,1005693.8400000001,1020228.6799999999,972263.6900000001,516002.23,1893023.75,1246140.3000000003,965953.3600000001
Non Metallurgical Magnesia Production,316.59,2312.77,39659.68,13339.08,507.0,182.39,21.72,1156.1000000000001,2320.1499999999996,1116.3000000000002,512.69
Other Process Uses of Carbonates,6999.76,4745.12,6982.070000000001,8035.990000000001,8701.380000000001,9624.240000000002,8351.93,3523.5499999999997,5242.11,6733.57,10657.380000000001
Other Uses of Soda Ash,56413.01999999999,65280.06999999999,73228.90000000001,56114.950000000004,59433.43,76959.35999999999,78527.82999999999,109190.04999999999,100007.04999999999,5314495.350000001,1860103.68
Lubricant Use,1147179.53,849906.2299999999,1183988.2,721481.6699999999,491986.3300000001,1524864.3599999999,1763497.0499999998,1813188.61,1588225.75,3252415.9899999993,2274818.5999999996
Paraffin Wax Use,109354.26,269557.7,105643.41,165334.86,399821.4799999999,386968.50999999995,627569.8200000001,516459.51000000007,369015.55999999994,455458.54999999993,346055.88
Total,101499730.56000002,106892159.19,112356471.61,119109778.33999997,128807520.76000004,140871557.05000004,154572455.85000002,155646768.35000002,158711715.57000002,172849861.59,175374781.52999997
