State,afolu_values
Uttar Pradesh,50106205.5
Maharashtra,35032400.59
Madhya Pradesh,26972922.44
Rajasthan,26198254.34
Bihar,24738476.62
Gujarat,21906733.48
Tamil Nadu,18014113.509999998
Telangana,16937323.04
Karnataka,12851590.32
Punjab,12127314.71
Haryana,11046725.16
Odisha,10217312.85
Chhattisgarh,10200397.01
Assam,10025273.55
Andhra Pradesh,6545298.989999998
Jharkhand,6260034.289999999
West Bengal,5017142.95
Uttarakhand,2838007.96
Delhi,207748.3
Nagaland,178342.80999999997
Puducherry,121143.39
Dadra & Nagar Haveli,116469.06
Chandigarh,18880.09
Lakshadweep,5774.23
Daman & Diu,-4444.169999999999
Jammu & Kashmir,-623143.25
Manipur,-628346.0399999999
Himachal Pradesh,-716938.8600000001
Mizoram,-831944.2899999999
Goa,-1030693.9000000001
Tripura,-1616833.0599999998
Kerala,-1703057.94
Meghalaya,-2272425.02
Sikkim,-3948092.02
Andaman & Nicobar Islands,-7114088.530000001
Arunachal Pradesh,-20916279.229999997
