Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Andaman & Nicobar Islands,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Arunachal Pradesh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Assam,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Bihar,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Chandigarh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Delhi,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Goa,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Gujarat,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Haryana,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Himachal Pradesh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Jammu & Kashmir,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Jharkhand,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Karnataka,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Kerala,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Lakshadweep,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Manipur,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Meghalaya,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Mizoram,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Nagaland,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Odisha,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Puducherry,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Punjab,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Sikkim,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Tamil Nadu,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Telangana,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Tripura,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,Uttarakhand,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CO2e (t) GWP-AR2,West Bengal,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Andaman & Nicobar Islands,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Andhra Pradesh,Waste,,38758.47,42267.96,39120.48,38297.7,44092.44,45198.09,43495.2,42160.23,43188.39,32238.99,27143.54
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Arunachal Pradesh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Assam,Waste,,2785.86,3402.0,3754.17,2598.75,3239.46,3374.91,3248.91,4238.01,5577.39,4628.61,4308.37
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Bihar,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Chandigarh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Chhattisgarh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Daman & Diu,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Dadra & Nagar Haveli,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Delhi,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Goa,Waste,,12457.77,12869.01,12657.96,11864.16,13245.75,12325.32,11115.09,9384.48,10522.89,11485.53,11353.32
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Gujarat,Waste,,81959.22,92359.89,84155.4,76253.31,85968.54,86257.08,80641.89,84627.27,82003.32,81615.87,81166.31
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Haryana,Waste,,5918.85,5882.31,5921.37,5729.22,5874.12,5572.35,5710.95,5288.22,5726.7,6275.43,6462.65
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Himachal Pradesh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Jammu & Kashmir,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Jharkhand,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Karnataka,Waste,,7462.51,7985.25,8147.79,7813.89,8254.26,7874.37,7100.1,7065.45,7149.24,7437.15,7544.19
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Kerala,Waste,,8036.91,8244.81,5383.35,6200.46,8108.73,7718.76,7167.51,7185.78,7588.98,7234.92,6893.63
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Lakshadweep,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Madhya Pradesh,Waste,,21425.67,21419.37,20718.18,20800.71,21120.12,21625.38,22082.13,21760.83,23369.22,24886.26,25912.14
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Waste,,25743.69,26173.98,25613.28,26068.77,28491.12,30885.12,31758.93,34184.43,32381.37,38028.06,43046.61
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Manipur,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Meghalaya,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Mizoram,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Nagaland,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Odisha,Waste,,20725.06,26516.7,29919.96,29191.05,32870.25,36850.59,38194.38,35274.96,36487.08,26505.36,22024.53
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Puducherry,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Punjab,Waste,,11665.08,11524.59,11484.27,12012.84,11643.66,11833.29,11562.39,11024.37,11329.29,12003.39,12293.64
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Waste,,26234.61,26489.61,27326.25,27013.14,27683.46,28760.13,29268.54,28242.9,25295.76,27447.21,28523.85
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CO2e (t) GWP-AR2,Sikkim,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
